Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8179621391296387,0.017327910251915456,0.5237536227107048,0.3165529224872589,19.59214455882016,0.4616897075250745
2,0.7422295989990234,0.006589621059596538,0.5636184692382813,0.27607686683535576,23.881691074849613,0.5729897969961166
3,0.6754522409439087,0.0049069330543279645,0.6273593435287476,0.2820286917090416,21.362079205536524,0.6494490635991097
4,0.7811997251510621,0.003886453874409199,0.6122032933235169,0.3609472641944885,25.66714345157817,0.7310962686538697
5,0.8385831389427185,0.003260137561708689,0.47213821029663083,0.29195441830158236,26.906889699751076,0.7867762131690978
6,0.8569668645858765,0.0030532065611332654,0.33473240399360654,0.16404526388645171,27.277258749013605,0.8127597144246101
7,1.0030808906555175,0.0024106292594224215,0.4681811194419861,0.4740167694091797,26.659658051011075,0.8180670880079269
8,1.002350637435913,0.002388100102543831,0.49244411849975583,0.4927277319431305,29.70385329879644,0.8493879670798778
9,0.9944735941886902,0.0026230987701565027,0.47808428025245664,0.47047474431991576,26.084883276886195,0.7906889584064484
10,0.9995781888961792,0.0022810140131041406,0.48840839767456057,0.4857205953598022,29.97508716440503,0.8575760971307754
11,1.0002003145217895,0.0018832651991397143,0.44474256443977356,0.4455166382789612,29.30468527752855,0.8408061922192573
12,1.0009922618865967,0.0020162316784262655,0.5149722423553467,0.5154476222991944,28.88118108021988,0.863730022251606
13,1.0034046154022216,0.0018769829496741294,0.5673845043182373,0.5701529061794282,26.518846530496493,0.8667128260731697
14,1.002684901714325,0.0020452707670629024,0.5565446817874908,0.5590256690979004,27.188025405478804,0.851693633377552
15,0.9990197639465332,0.0018971281573176384,0.5770448026657105,0.5755984954833985,27.269715240378737,0.8813770855665207
16,0.9978466444015502,0.0016816522851586342,0.6230455322265624,0.6173023824691772,29.57145605498767,0.838208554327488
17,0.9988944296836852,0.0015998520674183965,0.48676216888427737,0.4848427090644836,31.642982401911613,0.8964851374626159
18,1.0006656074523925,0.0014356099581345916,0.5430472784042358,0.5489962267875671,31.91751462265431,0.9012257107496262
19,0.9990167102813721,0.0015523303365334868,0.6838274273872376,0.6851788749694824,27.833461338298726,0.894896737754345
20,1.0016376180648803,0.0011955666206777097,0.7266055927276611,0.7267290201187134,31.31198103859699,0.9028270180523396
21,1.0007423992156983,0.0010722542144358158,0.6714461951255798,0.6706950469017029,29.723452701956052,0.897818084359169
22,1.0010143098831177,0.0014929302595555782,0.6692640676498413,0.6707693929672242,28.875130100138936,0.8886822783052921
23,0.9986097688674926,0.0012060348726809025,0.7516797313690186,0.7536423997879028,31.229373157076633,0.9044545442461968
24,0.9985946865081787,0.0010027587562799454,0.8431137914657593,0.8436284799575806,32.90657288605433,0.9105250850915909
25,0.9984369621276855,0.0011115668043494224,0.7956586923599244,0.7921283197402954,28.54438743048253,0.9084949038028717
26,0.9978258299827576,0.0010742080407217145,0.8245327606201172,0.8192242975234986,31.775683426659,0.9147543121576309
27,1.0008769087791443,0.0011195262810215355,0.718119665145874,0.7156811666488647,30.910985798565758,0.9156583766937256
28,1.0003924407958984,0.0011254614684730769,0.6448063254356384,0.6438178796768188,32.31630532925023,0.9204608927965164
29,1.002254581451416,0.0010624084593728186,0.6151891555786133,0.6159321041107177,30.935038498071762,0.9224517527222633
30,1.0000586528778077,0.0012283456269651652,0.5955353717803955,0.5942353477478027,32.31455963259818,0.9196586819291115
31,1.00059161567688,0.0011293089278042315,0.5351580448150635,0.5349303359985351,31.567722058160857,0.9248195054531098
32,1.002728572845459,0.0011016445523127914,0.5227004108428955,0.5236591835021973,34.04000005415381,0.9252349202036858
33,1.0014363842010499,0.0010609494484961034,0.5085691714286804,0.5109101891517639,32.693307186554776,0.9232595362067223
34,1.0009842309951782,0.0012129903379827739,0.5120119104385376,0.5090868680477142,31.412774517819035,0.9209821401834488
35,1.000205078125,0.0011393069331534207,0.4483305425643921,0.44832806491851807,32.2866882592169,0.9201605774760246
36,0.9981412062644959,0.0010932180993258953,0.5182184529304504,0.5198343014717102,33.11720913256715,0.9290589213967323
37,1.0006793842315673,0.000909843903966248,0.6819983968734741,0.6841182651519775,32.37094355412889,0.9297892878651619
38,1.0006169452667237,0.0009913873770274221,0.5696360554695129,0.5670147571563721,30.058282776734995,0.9188436784744263
39,0.9999521141052246,0.0012661978965625167,0.46153506088256835,0.4593788042068481,29.626715632382677,0.927415513753891
40,1.0018312044143676,0.0012987529458478094,0.4313415632247925,0.4327891318798065,32.025999523676,0.9249757452607155
41,1.0010810775756835,0.0011838589441031217,0.4284997959136963,0.4250477066040039,34.275385656804005,0.9316956810355187
42,1.0047918472290038,0.0014722604770213365,0.39171500301361084,0.3968515772819519,29.81143461176435,0.9157036911845208
43,1.002083475112915,0.0013820130294188858,0.4362967765331268,0.4369026703834534,31.318638164013795,0.9222054977416992
44,1.0032351007461549,0.0013425233066082002,0.3680532567501068,0.36791581130027773,30.323492280235552,0.9211207607388496
45,1.0015727920532227,0.001474951473996043,0.3306867208480835,0.33318945837020875,33.74549708859325,0.9275621412396431
46,1.003602418899536,0.0011850748248398305,0.394148777961731,0.39928875136375425,32.53048903380172,0.9296920855045319
47,1.0019060521125793,0.001265534495934844,0.44830524969100954,0.450220853805542,33.187512132992495,0.9282136575579644
48,0.9958601703643799,0.0011866305712610484,0.4212965393066406,0.4144072427749634,30.80228343747995,0.9301312408447265
49,0.9992487931251526,0.0013331619407981634,0.35368152475357056,0.3510009124279022,24.306031754715693,0.9067917499542236
50,1.0018481454849244,0.001422104905359447,0.34910376024246215,0.34742336654663086,28.356508668752085,0.9193517424464226
51,0.9936535301208496,0.0016276165628805756,0.29154305410385134,0.28114056861400605,29.49563013770769,0.9206251128315925
52,1.0022230815887452,0.0017347176419571042,0.19005819046497344,0.1886868119239807,30.08795449766657,0.9203065038919449
53,1.0008397045135498,0.001605180775746703,0.038468929512454515,0.0347438025685654,33.900731767817696,0.9290031998753547
54,1.0,0.0015970257967710495,2.2009091231453586e-19,9.601413815418006e-21,31.423798027122135,0.9254962430596352
55,1.0,0.0015963745536282659,2.394053277014015e-22,1.416984076642237e-22,31.66056285958736,0.9205862908363343
56,1.0,0.0017397890221327542,3.9415353574417234e-21,2.1077296768940875e-18,30.94874414243469,0.9242831550836563
57,1.0,0.0016357503179460764,6.988024179403321e-22,3.7927606483863787e-19,30.28351842490661,0.9067024079561233
58,1.0,0.001601630801334977,4.789448222667316e-22,8.23240854825721e-21,31.752016848370918,0.9313017075657845
59,1.0,0.0017091067098081111,3.1171468795556325e-21,5.742865400945973e-21,30.404159769890207,0.9305217603445053
60,1.0,0.0018100364040583372,2.48800286787003e-22,4.329688014519212e-22,27.36585659481988,0.9078096832633018
61,1.0,0.0016595975132659077,5.2248168021900465e-22,2.2068223317973725e-23,28.934592440763257,0.9058656898140908
62,1.0,0.001531144715845585,1.5606342891951593e-22,3.0222638424781857e-22,34.897055147677946,0.934155191719532
63,1.0,0.0015490261614322662,3.7748945286438476e-22,3.0288801269815135e-19,31.966340749218265,0.9306800248026847
64,1.0,0.0015368764866143464,8.649647268262167e-22,1.950287952879632e-21,31.57947824176139,0.9207918021678925
65,1.0,0.001648832100443542,2.3188121967388164e-22,2.793357751085273e-20,33.41769002746708,0.9357985493540764
66,1.0,0.001572463931515813,8.999559383881911e-22,2.9540832018840926e-22,34.80859357852518,0.9356240356564521
67,1.0,0.0015045690145343543,7.442860392586743e-22,2.2277814797874392e-17,32.06824097903359,0.9341692755222321
68,1.0,0.0014972294811159373,3.7028595071602525e-22,1.8455810855747285e-22,34.92499943452996,0.9354445729851723
69,1.0,0.0015103297978639604,2.419094839005076e-21,7.727154231274556e-21,34.61641206407219,0.9329112664461136
70,1.0,0.0014546968517825008,1.2434396745197064e-22,9.121071158196748e-22,31.753787967653125,0.926529335796833
71,1.0,0.001547814853489399,1.9573468856647173e-21,4.6160812564880185e-22,33.826332008808684,0.9360656381249428
72,1.0,0.0015018550055101514,8.665174548182364e-21,1.115444728880543e-19,31.04910062403663,0.922898410320282
73,1.0,0.0015700439102947711,5.1580692469629656e-21,1.977682554918766e-22,32.46056809419183,0.9305094724297523
74,1.0,0.0015132729476317764,1.1122987488686872e-21,5.078839317566033e-22,34.57978937455774,0.9343773421049119
75,1.0,0.0015640092818066478,3.91015339085865e-20,1.669409790393493e-19,26.836099519396804,0.9242798114418983
76,1.0,0.0014579779636114836,7.509448756607695e-22,1.8561303243077203e-21,34.84270706487648,0.9362380061745643
77,1.0,0.0015740697253495454,1.4040567970246303e-22,7.098047875584108e-21,30.244503399896526,0.914600458741188
78,1.0,0.0014838004112243653,6.79274613398179e-22,3.1799840114568905e-21,32.790432981065976,0.9336852263808251
79,1.0,0.0014847401985898614,9.078256522230436e-22,1.1553089885673245e-21,31.216593701419313,0.9248018524646759
80,1.0,0.0015989170558750629,2.9547039400706314e-21,5.2320830889419693e-20,31.39529665075392,0.9357049695849419
81,1.0,0.0015046915244311095,6.437049737996318e-22,6.046321074778429e-22,34.674616995768666,0.9326245973110199
82,1.0,0.0015666861776262521,2.472910406399136e-22,7.478771217419749e-20,33.45201321549992,0.9304859042167664
83,1.0,0.0015123309474438429,3.8342424696747376e-22,6.071768513004707e-21,35.32990967370433,0.9359572075009346
